Label,Init_mass_w_bag,Init_mass,Colour,DOB,DOR,Days,Final_mass_w_tea,Final_mass,Mass_Loss,percent_mass_loss,Treatment,Site,Weekly_average,Week
K77,2.188,1.9386,R,23/06/2016,14/08/2016,52,1.665,1.4156,0.27,27,heavy water ,2,14.52678571,1
K78,2.255,2.0056,R,23/06/2016,14/08/2016,52,1.565,1.3156,0.34,34,heavy water ,2,13.83035714,2
K79,2.258,2.0086,R,23/06/2016,14/08/2016,52,1.766,1.5166,0.24,24,heavy water ,2,17.15773809,3
K80,2.303,2.0536,R,23/06/2016,14/08/2016,52,1.806,1.5566,0.24,24,heavy water ,2,16.98809524,4
K81,2.205,1.9556,R,23/06/2016,14/08/2016,52,1.697,1.4476,0.26,26,heavy water ,2,14.36904762,5
K82,2.227,1.9776,R,23/06/2016,14/08/2016,52,1.686,1.4366,0.27,27,heavy water ,2,15.27083333,6
K83,2.153,1.9036,R,23/06/2016,14/08/2016,52,1.718,1.4686,0.23,23,disturbance,3,14.86309524,1
K84,2.238,1.9886,R,23/06/2016,14/08/2016,52,1.854,1.6046,0.19,19,disturbance,3,13.92261905,2
K85,2.174,1.9246,R,23/06/2016,14/08/2016,52,1.777,1.5276,0.21,21,disturbance,3,16.92559524,3
K86,2.206,1.9566,R,23/06/2016,14/08/2016,52,1.804,1.5546,0.21,21,disturbance,3,16.88690476,4
K87,2.234,1.9846,R,23/06/2016,14/08/2016,52,1.801,1.5516,0.22,22,disturbance,3,14.25,5
K88,2.222,1.9726,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.21,21,disturbance,3,15.07738095,6
K89,2.193,1.9436,R,23/06/2016,14/08/2016,52,1.79,1.5406,0.21,21,"disturbance, cover",4,15.46130952,1
K90,2.278,2.0286,R,23/06/2016,14/08/2016,52,1.859,1.6096,0.21,21,"disturbance, cover",4,14.42261905,2
K91,2.254,2.0046,R,23/06/2016,14/08/2016,52,1.881,1.6316,0.19,19,"disturbance, cover",4,16.61309524,3
K92,2.175,1.9256,R,23/06/2016,14/08/2016,52,1.807,1.5576,0.19,19,"disturbance, cover",4,16.91964286,4
K93,2.206,1.9566,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.2,20,"disturbance, cover",4,14.54761905,5
K94,2.174,1.9246,R,23/06/2016,14/08/2016,52,1.768,1.5186,0.21,21,"disturbance, cover",4,14.82142857,6
K95,2.183,1.9336,R,23/06/2016,14/08/2016,52,1.684,1.4346,0.26,26,light water,5,15.20535714,1
K96,2.189,1.9396,R,23/06/2016,14/08/2016,52,1.681,1.4316,0.26,26,light water,5,14.59821429,2
K97,2.216,1.9666,R,23/06/2016,14/08/2016,52,1.671,1.4216,0.28,28,light water,5,16.80357143,3
K98,2.277,2.0276,R,23/06/2016,14/08/2016,52,1.83,1.5806,0.22,22,light water,5,16.97619048,4
K99,2.319,2.0696,R,23/06/2016,14/08/2016,52,1.819,1.5696,0.24,24,light water,5,14.31845238,5
K100,2.199,1.9496,R,23/06/2016,14/08/2016,52,1.721,1.4716,0.25,25,light water,5,14.59523809,6
K101,2.301,2.0516,R,23/06/2016,14/08/2016,52,1.865,1.6156,0.21,21,"no water, cover",6,16.82142857,1
K102,2.2,1.9506,R,23/06/2016,14/08/2016,52,1.852,1.6026,0.18,18,"no water, cover",6,15.35119048,2
K103,2.228,1.9786,R,23/06/2016,14/08/2016,52,1.775,1.5256,0.23,23,"no water, cover",6,16.74404762,3
K104,2.223,1.9736,R,23/06/2016,14/08/2016,52,1.787,1.5376,0.22,22,"no water, cover",6,16.76785714,4
K105,2.23,1.9806,R,23/06/2016,14/08/2016,52,1.802,1.5526,0.22,22,"no water, cover",6,14.47916667,5
K106,2.28,2.0306,R,23/06/2016,14/08/2016,52,1.953,1.7036,0.16,16,"no water, cover",6,14.5327381,6
K113,2.196,1.9466,R,23/06/2016,14/08/2016,52,1.74,1.4906,0.23,23,"no water, cover",8,16.29761905,1
K114,2.22,1.9706,R,23/06/2016,14/08/2016,52,1.894,1.6446,0.17,17,"no water, cover",8,14.57440476,2
K115,2.279,2.0296,R,23/06/2016,14/08/2016,52,1.848,1.5986,0.21,21,"no water, cover",8,16.76488095,5
K116,2.292,2.0426,R,23/06/2016,14/08/2016,52,1.946,1.6966,0.17,17,"no water, cover",8,16.93452381,5
K117,2.189,1.9396,R,23/06/2016,14/08/2016,52,1.859,1.6096,0.17,17,"no water, cover",8,14.29166667,5
K118,2.293,2.0436,R,23/06/2016,14/08/2016,52,1.92,1.6706,0.18,18,"no water, cover",8,14.69047619,6
K119,2.31,2.0606,R,23/06/2016,14/08/2016,52,1.68,1.4306,0.31,31,heavy water ,9,15.6875,1
K120,2.233,1.9836,R,23/06/2016,14/08/2016,52,1.69,1.4406,0.27,27,heavy water ,9,14.24107143,2
K121,2.222,1.9726,R,23/06/2016,14/08/2016,52,1.641,1.3916,0.29,29,heavy water ,9,16.96130952,5
K122,2.266,2.0166,R,23/06/2016,14/08/2016,52,1.694,1.4446,0.28,28,heavy water ,9,16.89583333,5
K123,2.266,2.0166,R,23/06/2016,14/08/2016,52,1.705,1.4556,0.28,28,heavy water ,9,14.36011905,5
K124,2.179,1.9296,R,23/06/2016,14/08/2016,52,1.642,1.3926,0.28,28,heavy water ,9,14.51488095,6
K125,2.168,1.9186,R,23/06/2016,14/08/2016,52,1.711,1.4616,0.24,24,light water,10,14.61011905,1
K126,2.21,1.9606,R,23/06/2016,14/08/2016,52,1.652,1.4026,0.28,28,light water,10,13.55654762,2
K127,2.19,1.9406,R,23/06/2016,14/08/2016,52,1.683,1.4336,0.26,26,light water,10,16.47916667,5
K128,2.254,2.0046,R,23/06/2016,14/08/2016,52,1.748,1.4986,0.25,25,light water,10,17.56547619,5
K129,2.197,1.9476,R,23/06/2016,14/08/2016,52,1.791,1.5416,0.21,21,light water,10,13.86607143,5
K130,2.236,1.9866,R,23/06/2016,14/08/2016,52,1.704,1.4546,0.27,27,light water,10,14.75,6
K131,2.18,1.9306,R,23/06/2016,14/08/2016,52,1.679,1.4296,0.26,26,"heavy water, cover",11,15.52678571,1
K132,2.282,2.0326,R,23/06/2016,14/08/2016,52,1.699,1.4496,0.29,29,"heavy water, cover",11,14.42857143,2
K133,2.287,2.0376,R,23/06/2016,14/08/2016,52,1.78,1.5306,0.25,25,"heavy water, cover",11,16.56547619,5
K134,2.284,2.0346,R,23/06/2016,14/08/2016,52,1.69,1.4406,0.29,29,"heavy water, cover",11,17.66369048,5
K135,2.18,1.9306,R,23/06/2016,14/08/2016,52,1.656,1.4066,0.27,27,"heavy water, cover",11,13.92559524,5
K136,2.177,1.9276,R,23/06/2016,14/08/2016,52,1.605,1.3556,0.3,30,"heavy water, cover",11,15.45535714,6
K137,2.185,1.9356,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.19,19,no water,12,15.09821429,1
K138,2.191,1.9416,R,23/06/2016,14/08/2016,52,1.795,1.5456,0.2,20,no water,12,13.11755952,2
K139,2.162,1.9126,R,23/06/2016,14/08/2016,52,1.777,1.5276,0.2,20,no water,12,16.4672619,5
K140,2.243,1.9936,R,23/06/2016,14/08/2016,52,1.889,1.6396,0.18,18,no water,12,17.74404762,5
K141,2.134,1.8846,R,23/06/2016,14/08/2016,52,1.747,1.4976,0.21,21,no water,12,13.99404762,5
K142,2.23,1.9806,R,23/06/2016,14/08/2016,52,1.776,1.5266,0.23,23,no water,12,14.8125,6
K143,2.227,1.9776,R,23/06/2016,14/08/2016,52,1.778,1.5286,0.23,23,no water,13,15.98511905,1
K144,2.231,1.9816,R,23/06/2016,14/08/2016,52,1.776,1.5266,0.23,23,no water,13,14.22023809,2
K145,2.159,1.9096,R,23/06/2016,14/08/2016,52,1.706,1.4566,0.24,24,no water,13,16.50297619,5
K146,2.216,1.9666,R,23/06/2016,14/08/2016,52,1.771,1.5216,0.23,23,no water,13,17.9047619,5
K147,2.226,1.9766,R,23/06/2016,14/08/2016,52,1.764,1.5146,0.23,23,no water,13,13.79166667,5
K148,2.269,2.0196,R,23/06/2016,14/08/2016,52,1.84,1.5906,0.21,21,no water,13,15.03869048,6
K149,2.196,1.9466,R,23/06/2016,14/08/2016,52,1.771,1.5216,0.22,22,nothing,14,13.57738095,1
K150,2.174,1.9246,R,23/06/2016,14/08/2016,52,1.715,1.4656,0.24,24,nothing,14,13.33333333,2
K151,2.239,1.9896,R,23/06/2016,14/08/2016,52,1.83,1.5806,0.21,21,nothing,14,16.47023809,5
K152,2.269,2.0196,R,23/06/2016,14/08/2016,52,1.805,1.5556,0.23,23,nothing,14,17.78273809,5
K153,2.161,1.9116,R,23/06/2016,14/08/2016,52,1.755,1.5056,0.21,21,nothing,14,13.98809524,5
K154,2.216,1.9666,R,23/06/2016,14/08/2016,52,1.775,1.5256,0.22,22,nothing,14,15.2797619,6
K155,2.255,2.0056,R,23/06/2016,14/08/2016,52,1.777,1.5276,0.24,24,"heavy water, cover",15,14.9672619,1
K156,2.225,1.9756,R,23/06/2016,14/08/2016,52,1.701,1.4516,0.27,27,"heavy water, cover",15,13.8422619,2
K157,2.271,2.0216,R,23/06/2016,14/08/2016,52,1.744,1.4946,0.26,26,"heavy water, cover",15,16.34821429,5
K158,2.195,1.9456,R,23/06/2016,14/08/2016,52,1.721,1.4716,0.24,24,"heavy water, cover",15,17.64880953,5
K159,2.227,1.9776,R,23/06/2016,14/08/2016,52,1.689,1.4396,0.27,27,"heavy water, cover",15,14.05357143,5
K160,2.289,2.0396,R,23/06/2016,14/08/2016,52,1.725,1.4756,0.28,28,"heavy water, cover",15,14.85714286,6
K161,2.323,2.0736,R,23/06/2016,14/08/2016,52,1.864,1.6146,0.22,22,nothing,16,16.38988095,1
K162,2.18,1.9306,R,23/06/2016,14/08/2016,52,1.739,1.4896,0.23,23,nothing,16,14.35416667,2
K163,2.304,2.0546,R,23/06/2016,14/08/2016,52,1.89,1.6406,0.2,20,nothing,16,16.6577381,5
K164,2.322,2.0726,R,23/06/2016,14/08/2016,52,1.905,1.6556,0.2,20,nothing,16,17.25892857,5
K165,2.208,1.9586,R,23/06/2016,14/08/2016,52,1.797,1.5476,0.21,21,nothing,16,14.22619048,5
K166,2.252,2.0026,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.22,22,nothing,16,15.4702381,6
K167,2.234,1.9846,R,23/06/2016,14/08/2016,52,1.827,1.5776,0.21,21,"disturbance, cover",17,15.28571429,1
K168,2.264,2.0146,R,23/06/2016,14/08/2016,52,1.813,1.5636,0.22,22,"disturbance, cover",17,14.00892857,2
K169,2.314,2.0646,R,23/06/2016,14/08/2016,52,1.839,1.5896,0.23,23,"disturbance, cover",17,16.65178572,5
K170,2.325,2.0756,R,23/06/2016,14/08/2016,52,1.902,1.6526,0.2,20,"disturbance, cover",17,17.25892857,5
K171,2.251,2.0016,R,23/06/2016,14/08/2016,52,1.887,1.6376,0.18,18,"disturbance, cover",17,14.1577381,5
K172,2.246,1.9966,R,23/06/2016,14/08/2016,52,1.823,1.5736,0.21,21,"disturbance, cover",17,15.33035714,6
K173,2.266,2.0166,R,23/06/2016,14/08/2016,52,1.9,1.6506,0.18,18,disturbance,18,15.41369048,1
K174,2.248,1.9986,R,23/06/2016,14/08/2016,52,1.824,1.5746,0.21,21,disturbance,18,13.77083333,2
K175,2.286,2.0366,R,23/06/2016,14/08/2016,52,1.87,1.6206,0.2,20,disturbance,18,16.86309524,5
K176,2.273,2.0236,R,23/06/2016,14/08/2016,52,1.834,1.5846,0.22,22,disturbance,18,17.13690476,5
K177,2.287,2.0376,R,23/06/2016,14/08/2016,52,1.813,1.5636,0.23,23,disturbance,18,14.39285714,5
K178,2.303,2.0536,R,23/06/2016,14/08/2016,52,1.811,1.5616,0.24,24,disturbance,18,15.29166667,6
K187,2.097,1.8496,G,23/06/2016,14/08/2016,52,1.005,0.7576,0.59,59,heavy water ,2,14.52678571,1
K188,2.018,1.7706,G,23/06/2016,14/08/2016,52,1.115,0.8676,0.51,51,heavy water ,2,13.83035714,2
K189,2.018,1.7706,G,23/06/2016,14/08/2016,52,1.035,0.7876,0.56,56,heavy water ,2,17.15773809,5
K190,2.164,1.9166,G,23/06/2016,14/08/2016,52,1.206,0.9586,0.5,50,heavy water ,2,16.98809524,5
K191,2.152,1.9046,G,23/06/2016,14/08/2016,52,1.098,0.8506,0.55,55,heavy water ,2,14.36904762,5
K192,2.189,1.9416,G,23/06/2016,14/08/2016,52,1.129,0.8816,0.55,55,heavy water ,2,15.27083333,6
K193,2.153,1.9056,G,23/06/2016,14/08/2016,52,0.941,0.6936,0.64,64,disturbance,3,14.86309524,1
K194,2.165,1.9176,G,23/06/2016,14/08/2016,52,0.979,0.7316,0.62,62,disturbance,3,13.92261905,2
K195,2.201,1.9536,G,23/06/2016,14/08/2016,52,1.106,0.8586,0.56,56,disturbance,3,16.92559524,5
K196,2.064,1.8166,G,23/06/2016,14/08/2016,52,0.84,0.5926,0.67,67,disturbance,3,16.88690476,5
K197,2.175,1.9276,G,23/06/2016,14/08/2016,52,1.033,0.7856,0.59,59,disturbance,3,14.25,5
K198,2.254,2.0066,G,23/06/2016,14/08/2016,52,0.86,0.6126,0.69,69,disturbance,3,15.07738095,6
K199,2.141,1.8936,G,23/06/2016,14/08/2016,52,0.962,0.7146,0.62,62,"disturbance, cover",4,15.46130952,1
K200,2.072,1.8246,G,23/06/2016,14/08/2016,52,0.933,0.6856,0.62,62,"disturbance, cover",4,14.42261905,2
K201,2.159,1.9116,G,23/06/2016,14/08/2016,52,1.042,0.7946,0.58,58,"disturbance, cover",4,16.61309524,5
K202,2.133,1.8856,G,23/06/2016,14/08/2016,52,0.98,0.7326,0.61,61,"disturbance, cover",4,16.91964286,5
K203,2.055,1.8076,G,23/06/2016,14/08/2016,52,0.769,0.5216,0.71,71,"disturbance, cover",4,14.54761905,5
K204,2.076,1.8286,G,23/06/2016,14/08/2016,52,0.831,0.5836,0.68,68,"disturbance, cover",4,14.82142857,6
K205,2.108,1.8606,G,23/06/2016,14/08/2016,52,0.92,0.6726,0.64,64,light water,5,15.20535714,1
K206,2.243,1.9956,G,23/06/2016,14/08/2016,52,0.959,0.7116,0.64,64,light water,5,14.59821429,2
K207,2.058,1.8106,G,23/06/2016,14/08/2016,52,0.944,0.6966,0.62,62,light water,5,16.80357143,5
K208,2.044,1.7966,G,23/06/2016,14/08/2016,52,0.978,0.7306,0.59,59,light water,5,16.97619048,5
K209,2.162,1.9146,G,23/06/2016,14/08/2016,52,0.998,0.7506,0.61,61,light water,5,14.31845238,5
K210,2.248,2.0006,G,23/06/2016,14/08/2016,52,0.919,0.6716,0.66,66,light water,5,14.59523809,6
K211,2.052,1.8046,G,23/06/2016,14/08/2016,52,0.91,0.6626,0.63,63,"no water, cover",6,16.82142857,1
K212,2.103,1.8556,G,23/06/2016,14/08/2016,52,0.944,0.6966,0.62,62,"no water, cover",6,15.35119048,2
K213,2.174,1.9266,G,23/06/2016,14/08/2016,52,0.949,0.7016,0.64,64,"no water, cover",6,16.74404762,5
K214,2.112,1.8646,G,23/06/2016,14/08/2016,52,0.934,0.6866,0.63,63,"no water, cover",6,16.76785714,5
K215,2.174,1.9266,G,23/06/2016,14/08/2016,52,0.972,0.7246,0.62,62,"no water, cover",6,14.47916667,5
K216,2.205,1.9576,G,23/06/2016,14/08/2016,52,1.085,0.8376,0.57,57,"no water, cover",6,14.5327381,6
K223,2.08,1.8326,G,23/06/2016,14/08/2016,52,1.022,0.7746,0.58,58,"no water, cover",8,16.29761905,1
K224,2.118,1.8706,G,23/06/2016,14/08/2016,52,0.915,0.6676,0.64,64,"no water, cover",8,14.57440476,2
K225,2.229,1.9816,G,23/06/2016,14/08/2016,52,1.214,0.9666,0.51,51,"no water, cover",8,16.76488095,5
K226,2.171,1.9236,G,23/06/2016,14/08/2016,52,1.197,0.9496,0.51,51,"no water, cover",8,16.93452381,5
K227,2.133,1.8856,G,23/06/2016,14/08/2016,52,1.074,0.8266,0.56,56,"no water, cover",8,14.29166667,5
K228,2.116,1.8686,G,23/06/2016,14/08/2016,52,1.186,0.9386,0.5,50,"no water, cover",8,14.69047619,6
K229,2.115,1.8676,G,23/06/2016,14/08/2016,52,0.962,0.7146,0.62,62,heavy water ,9,15.6875,1
K230,2.149,1.9016,G,23/06/2016,14/08/2016,52,0.906,0.6586,0.65,65,heavy water ,9,14.24107143,2
K231,2.104,1.8566,G,23/06/2016,14/08/2016,52,1.001,0.7536,0.59,59,heavy water ,9,16.96130952,5
K232,2.027,1.7796,G,23/06/2016,14/08/2016,52,0.858,0.6106,0.66,66,heavy water ,9,16.89583333,5
K233,2.112,1.8646,G,23/06/2016,14/08/2016,52,0.894,0.6466,0.65,65,heavy water ,9,14.36011905,5
K234,2.124,1.8766,G,23/06/2016,14/08/2016,52,0.869,0.6216,0.67,67,heavy water ,9,14.51488095,6
K235,2.123,1.8756,G,23/06/2016,14/08/2016,52,0.927,0.6796,0.64,64,light water,10,14.61011905,1
K236,2.068,1.8206,G,23/06/2016,14/08/2016,52,1.095,0.8476,0.53,53,light water,10,13.55654762,2
K237,2.082,1.8346,G,23/06/2016,14/08/2016,52,1.011,0.7636,0.58,58,light water,10,16.47916667,5
K238,2.067,1.8196,G,23/06/2016,14/08/2016,52,1.102,0.8546,0.53,53,light water,10,17.56547619,5
K239,2.122,1.8746,G,23/06/2016,14/08/2016,52,1.033,0.7856,0.58,58,light water,10,13.86607143,5
K240,2.094,1.8466,G,23/06/2016,14/08/2016,52,1.082,0.8346,0.55,55,light water,10,14.75,6
K241,1.989,1.7416,G,23/06/2016,14/08/2016,52,0.972,0.7246,0.58,58,"heavy water, cover",11,15.52678571,1
K242,2.03,1.7826,G,23/06/2016,14/08/2016,52,0.75,0.5026,0.72,72,"heavy water, cover",11,14.42857143,2
K243,2.029,1.7816,G,23/06/2016,14/08/2016,52,0.903,0.6556,0.63,63,"heavy water, cover",11,16.56547619,5
K244,2.088,1.8406,G,23/06/2016,14/08/2016,52,0.773,0.5256,0.71,71,"heavy water, cover",11,17.66369048,5
K245,2.007,1.7596,G,23/06/2016,14/08/2016,52,0.845,0.5976,0.66,66,"heavy water, cover",11,13.92559524,5
K246,2.132,1.8846,G,23/06/2016,14/08/2016,52,0.957,0.7096,0.62,62,"heavy water, cover",11,15.45535714,6
K247,2.011,1.7636,G,23/06/2016,14/08/2016,52,1.085,0.8376,0.53,53,no water,12,15.09821429,1
K248,1.982,1.7346,G,23/06/2016,14/08/2016,52,0.916,0.6686,0.61,61,no water,12,13.11755952,2
K249,1.993,1.7456,G,23/06/2016,14/08/2016,52,0.827,0.5796,0.67,67,no water,12,16.4672619,5
K250,2.057,1.8096,G,23/06/2016,14/08/2016,52,1.282,1.0346,0.43,43,no water,12,17.74404762,5
K251,2.07,1.8226,G,23/06/2016,14/08/2016,52,1.014,0.7666,0.58,58,no water,12,13.99404762,5
K252,2.021,1.7736,G,23/06/2016,14/08/2016,52,0.992,0.7446,0.58,58,no water,12,14.8125,6
K253,1.975,1.7276,G,23/06/2016,14/08/2016,52,0.72,0.4726,0.73,73,no water,13,15.98511905,1
K254,1.95,1.7026,G,23/06/2016,14/08/2016,52,0.805,0.5576,0.67,67,no water,13,14.22023809,2
K255,1.972,1.7246,G,23/06/2016,14/08/2016,52,0.824,0.5766,0.67,67,no water,13,16.50297619,5
K256,2.074,1.8266,G,23/06/2016,14/08/2016,52,0.83,0.5826,0.68,68,no water,13,17.9047619,5
K257,2.149,1.9016,G,23/06/2016,14/08/2016,52,0.86,0.6126,0.68,68,no water,13,13.79166667,5
K258,1.92,1.6726,G,23/06/2016,14/08/2016,52,0.82,0.5726,0.66,66,no water,13,15.03869048,6
K259,2.04,1.7926,G,23/06/2016,14/08/2016,52,0.849,0.6016,0.66,66,nothing,14,13.57738095,1
K260,2.043,1.7956,G,23/06/2016,14/08/2016,52,1.072,0.8246,0.54,54,nothing,14,13.33333333,2
K261,2.032,1.7846,G,23/06/2016,14/08/2016,52,1.206,0.9586,0.46,46,nothing,14,16.47023809,5
K262,2.051,1.8036,G,23/06/2016,14/08/2016,52,0.969,0.7216,0.6,60,nothing,14,17.78273809,5
K263,1.998,1.7506,G,23/06/2016,14/08/2016,52,1.162,0.9146,0.48,48,nothing,14,13.98809524,5
K264,2.162,1.9146,G,23/06/2016,14/08/2016,52,0.906,0.6586,0.66,66,nothing,14,15.2797619,6
K265,2.011,1.7636,G,23/06/2016,14/08/2016,52,0.977,0.7296,0.59,59,"heavy water, cover",15,14.9672619,1
K266,2.153,1.9056,G,23/06/2016,14/08/2016,52,0.99,0.7426,0.61,61,"heavy water, cover",15,13.8422619,2
K267,2.013,1.7656,G,23/06/2016,14/08/2016,52,0.823,0.5756,0.67,67,"heavy water, cover",15,16.34821429,5
K268,1.95,1.7026,G,23/06/2016,14/08/2016,52,0.862,0.6146,0.64,64,"heavy water, cover",15,17.64880953,5
K269,2.105,1.8576,G,23/06/2016,14/08/2016,52,0.968,0.7206,0.61,61,"heavy water, cover",15,14.05357143,5
K270,2.128,1.8806,G,23/06/2016,14/08/2016,52,0.887,0.6396,0.66,66,"heavy water, cover",15,14.85714286,6
K271,1.984,1.7366,G,23/06/2016,14/08/2016,52,0.837,0.5896,0.66,66,nothing,16,16.38988095,1
K272,2.138,1.8906,G,23/06/2016,14/08/2016,52,1.073,0.8256,0.56,56,nothing,16,14.35416667,2
K273,2.056,1.8086,G,23/06/2016,14/08/2016,52,1.107,0.8596,0.52,52,nothing,16,16.6577381,5
K274,1.948,1.7006,G,23/06/2016,14/08/2016,52,0.927,0.6796,0.6,60,nothing,16,17.25892857,5
K275,2.064,1.8166,G,23/06/2016,14/08/2016,52,0.737,0.4896,0.73,73,nothing,16,14.22619048,5
K276,1.987,1.7396,G,23/06/2016,14/08/2016,52,0.825,0.5776,0.67,67,nothing,16,15.4702381,6
K277,1.867,1.6196,G,23/06/2016,14/08/2016,52,0.922,0.6746,0.58,58,"disturbance, cover",17,15.28571429,1
K278,2.11,1.8626,G,23/06/2016,14/08/2016,52,0.833,0.5856,0.69,69,"disturbance, cover",17,14.00892857,2
K279,2.134,1.8866,G,23/06/2016,14/08/2016,52,0.984,0.7366,0.61,61,"disturbance, cover",17,16.65178572,5
K280,1.944,1.6966,G,23/06/2016,14/08/2016,52,0.814,0.5666,0.67,67,"disturbance, cover",17,17.25892857,5
K281,2.114,1.8666,G,23/06/2016,14/08/2016,52,0.93,0.6826,0.63,63,"disturbance, cover",17,14.1577381,5
K282,2.012,1.7646,G,23/06/2016,14/08/2016,52,0.861,0.6136,0.65,65,"disturbance, cover",17,15.33035714,6
K283,2.12,1.8726,G,23/06/2016,14/08/2016,52,1.071,0.8236,0.56,56,disturbance,18,15.41369048,1
K284,2.063,1.8156,G,23/06/2016,14/08/2016,52,0.96,0.7126,0.61,61,disturbance,18,13.77083333,2
K285,2.01,1.7626,G,23/06/2016,14/08/2016,52,0.888,0.6406,0.64,64,disturbance,18,16.86309524,5
K286,2.185,1.9376,G,23/06/2016,14/08/2016,52,1.03,0.7826,0.6,60,disturbance,18,17.13690476,5
K287,2.013,1.7656,G,23/06/2016,14/08/2016,52,0.881,0.6336,0.64,64,disturbance,18,14.39285714,5
K288,1.985,1.7376,G,23/06/2016,14/08/2016,52,0.857,0.6096,0.65,65,disturbance,18,15.29166667,6