tea_type2,Line_Mean_weekly_temp,Line_Percent_mass_loss,plo,phi,Percent_mass_loss,Mean_weekly_temp,tea_type,Elevation
R,4.916666679,23.17833013,19.42801181,26.92864845,22,11.47883596,R,922
R,6.421875035,22.65489848,17.69049013,27.61930682,18,9.833333357,R,922
R,4.633184465,23.27691021,19.67225751,26.88156291,18,12.84375007,R,922
R,5.079778465,23.1216085,19.2727527,26.97046429,23,9.266368929,R,922
R,3.305059465,23.73876166,20.29447416,27.18304916,23,10.15955693,R,1049
R,4.282738143,23.39877686,19.92419453,26.87335918,19,6.610118929,R,1049
R,2.809523822,23.91108268,20.29399929,27.52816607,13,8.565476286,R,1049
R,3.065145461,23.82219103,20.30901038,27.33537167,16,5.619047643,R,1049
R,1.907738072,24.22467594,20.03024159,28.41911029,18,6.130290921,R,1175
R,2.564732143,23.99620824,20.25250326,27.73991323,13,3.815476143,R,1175
R,1.811755929,24.25805344,19.98636682,28.52974006,18,5.129464286,R,1175
R,2.069527119,24.16841429,20.09820357,28.23862501,21,3.623511858,R,1175
R,3.720982107,23.59412582,20.19886941,26.98938222,21,7.441964214,R,1299
R,5.02976186,23.13900162,19.32143694,26.9565663,17,10.05952372,R,1299
R,3.953869072,23.51314008,20.10513027,26.92114989,25,7.907738143,R,1299
R,4.285879627,23.39768441,19.92219967,26.87316916,20,8.571759254,R,1299
R,3.592261929,23.63888787,20.23824367,27.03953207,22,7.184523857,R,1425
R,4.622023786,23.2807913,19.68116406,26.88041854,20,9.244047571,R,1425
R,3.160714322,23.78895724,20.30665373,27.27126076,20,6.321428643,R,1425
R,3.531332715,23.66007582,20.2538011,27.06635054,22,7.062665429,R,1425
R,3.592261929,23.63888787,20.23824367,27.03953207,20,7.184523857,R,1684
R,4.622023786,23.2807913,19.68116406,26.88041854,24,9.244047571,R,1684
R,3.160714322,23.78895724,20.30665373,27.27126076,24,6.321428643,R,1684
R,3.531332715,23.66007582,20.2538011,27.06635054,26,7.062665429,R,1684
R,3.592261929,23.63888787,20.23824367,27.03953207,28,7.184523857,R,1926
R,4.622023786,23.2807913,19.68116406,26.88041854,25,9.244047571,R,1926
R,3.160714322,23.78895724,20.30665373,27.27126076,28,6.321428643,R,1926
R,3.531332715,23.66007582,20.2538011,27.06635054,30,7.062665429,R,1926
G,9.833333357,46.35666025,38.85602361,53.85729689,47,9.833333357,G,922
G,12.84375007,45.30979695,35.38098026,55.23861364,34,12.84375007,G,922
G,9.266368929,46.55382041,39.34451502,53.76312581,41,9.266368929,G,922
G,10.15955693,46.24321699,38.5455054,53.94092858,46,10.15955693,G,922
G,6.610118929,47.47752331,40.58894831,54.36609831,50,6.610118929,G,1049
G,8.565476286,46.79755371,39.84838906,53.74671836,45,8.565476286,G,1049
G,5.619047643,47.82216535,40.58799857,55.05633213,35,5.619047643,G,1049
G,6.130290921,47.64438205,40.61802075,54.67074334,41,6.130290921,G,1049
G,3.815476143,48.44935188,40.06048318,56.83822058,40,3.815476143,G,1175
G,5.129464286,47.99241648,40.50500651,55.47982645,33,5.129464286,G,1175
G,3.623511858,48.51610688,39.97273364,57.05948011,38,3.623511858,G,1175
G,4.139054238,48.33682857,40.19640714,56.47725001,44,4.139054238,G,1175
G,7.441964214,47.18825163,40.39773882,53.97876444,45,7.441964214,G,1299
G,10.05952372,46.27800324,38.64287387,53.9131326,42,10.05952372,G,1299
G,7.907738143,47.02628016,40.21026054,53.84229977,50,7.907738143,G,1299
G,8.571759254,46.79536882,39.84439933,53.74633832,44,8.571759254,G,1299
G,7.184523857,47.27777573,40.47648734,54.07906413,46,7.184523857,G,1425
G,9.244047571,46.5615826,39.36232812,53.76083708,45,9.244047571,G,1425
G,6.321428643,47.57791448,40.61330745,54.54252151,44,6.321428643,G,1425
G,7.062665429,47.32015163,40.50760219,54.13270107,49,7.062665429,G,1425
G,7.184523857,47.27777573,40.47648734,54.07906413,49,7.184523857,G,1684
G,9.244047571,46.5615826,39.36232812,53.76083708,50,9.244047571,G,1684
G,6.321428643,47.57791448,40.61330745,54.54252151,49,6.321428643,G,1684
G,7.062665429,47.32015163,40.50760219,54.13270107,50,7.062665429,G,1684
G,7.184523857,47.27777573,40.47648734,54.07906413,67,7.184523857,G,1926
G,9.244047571,46.5615826,39.36232812,53.76083708,68,9.244047571,G,1926
G,6.321428643,47.57791448,40.61330745,54.54252151,63,6.321428643,G,1926
G,7.062665429,47.32015163,40.50760219,54.13270107,66,7.062665429,G,1926