Label,Site,Elevation,Treatment,Init__w_bag,Init,tea_type,Plot,Site,DOB,DOR,Days,Final_w_bag,Final,Mass_loss,Percent_mass_loss,Mean_weekly_temp,Week
1M1,1,794,M,2.117,1.87,G,1M,EP,24/06/2016,13/08/2016,50,1.147,0.9,0.52,52,9.980654712,1
1M2,1,794,M,2.129,1.882,G,1M,EP,24/06/2016,13/08/2016,50,1.246,0.999,0.47,47,12.95684522,2
1M3,1,794,M,2.065,1.818,G,1M,EP,24/06/2016,13/08/2016,50,1.2,0.953,0.48,48,9.261904857,3
1M4,1,794,M,2.11,1.863,G,1M,EP,24/06/2016,13/08/2016,50,1.18,0.933,0.5,50,9.855158604,4
1T1,1,794,T,2.16,1.913,G,1T,EP,24/06/2016,13/08/2016,50,1.366,1.119,0.42,42,10.84077379,1
1T2,1,794,T,1.96,1.713,G,1T,EP,24/06/2016,13/08/2016,50,1.308,1.061,0.38,38,13.52827386,2
1T3,1,794,T,2.069,1.822,G,1T,EP,24/06/2016,13/08/2016,50,1.188,0.941,0.48,48,9.138392714,3
1T4,1,794,T,2.213,1.966,G,1T,EP,24/06/2016,13/08/2016,50,1.203,0.956,0.51,51,10.34656087,4
1B1,1,794,B,2.172,1.925,G,1B,EP,24/06/2016,13/08/2016,50,1.102,0.855,0.56,56,12.25744043,1
1B2,1,794,B,2.07,1.823,G,1B,EP,24/06/2016,13/08/2016,50,1.13,0.883,0.52,52,13.8348215,2
1B3,1,794,B,2.134,1.887,G,1B,EP,24/06/2016,13/08/2016,50,1.206,0.959,0.49,49,10.00446429,3
1B4,1,794,B,2.106,1.859,G,1B,EP,24/06/2016,13/08/2016,50,1.212,0.965,0.48,48,11.47883596,4
2A1,2,922,A,2.065,1.818,G,2A,EP,24/06/2016,13/08/2016,50,1.203,0.956,0.47,47,9.833333357,1
2A2,2,922,A,1.973,1.726,G,2A,EP,24/06/2016,13/08/2016,50,1.394,1.147,0.34,34,12.84375007,2
2A3,2,922,A,2.106,1.859,G,2A,EP,24/06/2016,13/08/2016,50,1.339,1.092,0.41,41,9.266368929,3
2A4,2,922,A,2.043,1.796,G,2A,EP,24/06/2016,13/08/2016,50,1.215,0.968,0.46,46,10.15955693,4
3A1,3,1049,A,2.063,1.816,G,3A,EP,24/06/2016,13/08/2016,50,1.152,0.905,0.5,50,6.610118929,1
3A2,3,1049,A,2.058,1.811,G,3A,EP,24/06/2016,13/08/2016,50,1.241,0.994,0.45,45,8.565476286,2
3A3,3,1049,A,2.016,1.769,G,3A,EP,24/06/2016,13/08/2016,50,1.401,1.154,0.35,35,5.619047643,3
3A4,3,1049,A,2.094,1.847,G,3A,EP,24/06/2016,13/08/2016,50,1.339,1.092,0.41,41,6.130290921,4
4A1,4,1175,A,2.103,1.856,G,4A,EP,24/06/2016,13/08/2016,50,1.363,1.116,0.4,40,3.815476143,1
4A2,4,1175,A,2.161,1.914,G,4A,EP,24/06/2016,13/08/2016,50,1.522,1.275,0.33,33,5.129464286,2
4A3,4,1175,A,2.057,1.81,G,4A,EP,24/06/2016,13/08/2016,50,1.372,1.125,0.38,38,3.623511858,3
4A4,4,1175,A,2.129,1.882,G,4A,EP,24/06/2016,13/08/2016,50,1.31,1.063,0.44,44,4.139054238,4
4M1,4,1175,M,2.056,1.809,G,4M,EP,24/06/2016,13/08/2016,50,1.18,0.933,0.48,48,7.184523857,1
4M2,4,1175,M,2.08,1.833,G,4M,EP,24/06/2016,13/08/2016,50,1.121,0.874,0.52,52,9.244047571,2
4M3,4,1175,M,2.085,1.838,G,4M,EP,24/06/2016,13/08/2016,50,1.228,0.981,0.47,47,6.321428643,3
4M4,4,1175,M,2.114,1.867,G,4M,EP,24/06/2016,13/08/2016,50,1.152,0.905,0.52,52,7.062665429,4
4T1,4,1175,T,2.047,1.8,G,4T,EP,24/06/2016,13/08/2016,50,1.28,1.033,0.43,43,6.055059572,1
4T2,4,1175,T,2.104,1.857,G,4T,EP,24/06/2016,13/08/2016,50,1.286,1.039,0.44,44,6.912202429,2
4T3,4,1175,T,1.994,1.747,G,4T,EP,24/06/2016,13/08/2016,50,1.255,1.008,0.42,42,5.188988143,3
4T4,4,1175,T,2.004,1.757,G,4T,EP,24/06/2016,13/08/2016,50,1.23,0.983,0.44,44,5.93816131,4
4B1,4,1175,B,2.031,1.784,G,4B,EP,24/06/2016,13/08/2016,50,1.568,1.321,0.26,26,8.2440475,1
4B3,4,1175,B,2.066,1.819,G,4B,EP,24/06/2016,13/08/2016,50,1.515,1.268,0.3,30,9.706845286,2
4B4,4,1175,B,2.085,1.838,G,4B,EP,24/06/2016,13/08/2016,50,1.783,1.536,0.26,26,6.684523929,3
5A1,5,1299,A,2.035,1.788,G,5A,EP,24/06/2016,13/08/2016,50,1.224,0.977,0.45,45,7.441964214,4
5A2,5,1299,A,2.195,1.948,G,5A,EP,24/06/2016,13/08/2016,50,1.382,1.135,0.42,42,10.05952372,1
5A3,5,1299,A,2.112,1.865,G,5A,EP,24/06/2016,13/08/2016,50,1.189,0.942,0.5,50,7.907738143,2
5A4,5,1299,A,2.054,1.807,G,5A,EP,24/06/2016,13/08/2016,50,1.131,1.014,0.44,44,8.571759254,3
6A1,6,1425,A,2.03,1.783,G,6A,EP,24/06/2016,13/08/2016,50,1.205,0.958,0.46,46,7.184523857,4
6A2,6,1425,A,2.091,1.844,G,6A,EP,24/06/2016,13/08/2016,50,1.27,1.023,0.45,45,9.244047571,1
6A3,6,1425,A,2.049,1.802,G,6A,EP,24/06/2016,13/08/2016,50,1.257,1.01,0.44,44,6.321428643,2
6A4,6,1425,A,2.105,1.858,G,6A,EP,24/06/2016,13/08/2016,50,1.203,0.956,0.49,49,7.062665429,3
7M1,7,1551,M,1.965,1.718,G,7M,EP,24/06/2016,13/08/2016,50,1.032,0.785,0.54,54,8.671130929,4
7M2,7,1551,M,2.128,1.881,G,7M,EP,24/06/2016,13/08/2016,50,1.193,0.946,0.5,50,10.52083336,1
7M3,7,1551,M,2.024,1.777,G,7M,EP,24/06/2016,13/08/2016,50,1.14,0.893,0.5,50,8.394345143,2
7M4,7,1551,M,2.126,1.879,G,7M,EP,24/06/2016,13/08/2016,50,1.188,0.941,0.5,50,9.183201119,3
7T2,7,1551,T,2.033,1.786,G,7T,EP,24/06/2016,13/08/2016,50,1.272,1.025,0.43,43,9.096726286,4
7T3,7,1551,T,2.133,1.886,G,7T,EP,24/06/2016,13/08/2016,50,1.224,0.977,0.48,48,7.727678572,1
7T4,7,1551,T,2.078,1.831,G,7T,EP,24/06/2016,13/08/2016,50,1.245,0.998,0.46,46,8.657241961,2
7B1,7,1551,B,2.006,1.759,G,7B,EP,24/06/2016,13/08/2016,50,1.238,0.991,0.44,44,10.31101186,3
7B2,7,1551,B,2.021,1.774,G,7B,EP,24/06/2016,13/08/2016,50,1.276,1.029,0.42,42,11.33333336,4
7B3,7,1551,B,2.121,1.874,G,7B,EP,24/06/2016,13/08/2016,50,1.275,1.028,0.45,45,9.572916712,1
7B4,7,1551,B,1.85,1.603,G,7B,EP,24/06/2016,13/08/2016,50,1.198,0.951,0.41,41,10.6929564,2
8A1,8,1684,A,2.053,1.806,G,8A,EP,24/06/2016,13/08/2016,50,1.17,0.923,0.49,49,7.184523857,3
8A2,8,1684,A,2.076,1.829,G,8A,EP,24/06/2016,13/08/2016,50,1.17,0.923,0.5,50,9.244047571,4
8A3,8,1684,A,2.138,1.891,G,8A,EP,24/06/2016,13/08/2016,50,1.208,0.961,0.49,49,6.321428643,1
8A4,8,1684,A,2.086,1.839,G,8A,EP,24/06/2016,13/08/2016,50,1.158,0.911,0.5,50,7.062665429,2
10A1,10,1926,A,1.962,1.715,G,10A,EP,24/06/2016,13/08/2016,50,0.811,0.564,0.67,67,7.184523857,3
10A2,10,1926,A,2.057,1.81,G,10A,EP,24/06/2016,13/08/2016,50,0.835,0.588,0.68,68,9.244047571,4
10A3,10,1926,A,1.885,1.638,G,10A,EP,24/06/2016,13/08/2016,50,0.857,0.61,0.63,63,6.321428643,1
10A4,10,1926,A,1.957,1.71,G,10A,EP,24/06/2016,13/08/2016,50,0.706,0.589,0.66,66,7.062665429,2
10M1,10,1926,M,2.008,1.761,G,10M,EP,24/06/2016,13/08/2016,50,1.152,0.905,0.49,49,7.123511857,3
10M2,10,1926,M,2.052,1.805,G,10M,EP,24/06/2016,13/08/2016,50,1.139,0.892,0.51,51,9.245535786,4
10M3,10,1926,M,2.039,1.792,G,10M,EP,24/06/2016,13/08/2016,50,1.172,0.925,0.48,48,7.5699405,1
10M4,10,1926,M,2.018,1.771,G,10M,EP,24/06/2016,13/08/2016,50,1.171,0.924,0.48,48,8.073743429,2
10T1,10,1926,T,1.978,1.731,G,10T,EP,24/06/2016,13/08/2016,50,0.979,0.732,0.58,58,7.407738072,3
10T2,10,1926,T,1.968,1.721,G,10T,EP,24/06/2016,13/08/2016,50,1.05,0.803,0.53,53,8.769345072,4
10T3,10,1926,T,2.08,1.833,G,10T,EP,24/06/2016,13/08/2016,50,1.186,0.939,0.49,49,8.135416643,1
10T4,10,1926,T,2.044,1.797,G,10T,EP,24/06/2016,13/08/2016,50,0.911,0.664,0.63,63,8.711309445,2
10B1,10,1926,B,2.139,1.892,G,10B,EP,24/06/2016,13/08/2016,50,1.127,0.88,0.53,53,8.909226213,3
10B2,10,1926,B,2.051,1.804,G,10B,EP,24/06/2016,13/08/2016,50,1.16,0.913,0.49,49,9.955357072,4
10B3,10,1926,B,2.143,1.896,G,10B,EP,24/06/2016,13/08/2016,50,1.334,1.087,0.43,43,8.903273788,1
10B4,10,1926,B,2.158,1.911,G,10B,EP,24/06/2016,13/08/2016,50,1.234,0.987,0.48,48,9.735119278,2
1M1,1,794,M,2.25,2.001,R,1M,EP,24/06/2016,13/08/2016,50,1.841,1.592,0.2,20,9.980654712,5
1M2,1,794,M,2.239,1.99,R,1M,EP,24/06/2016,13/08/2016,50,1.795,1.546,0.22,22,12.95684522,6
1M3,1,794,M,2.193,1.944,R,1M,EP,24/06/2016,13/08/2016,50,1.809,1.56,0.2,20,9.261904857,7
1M4,1,794,M,2.234,1.985,R,1M,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.22,22,9.855158604,8
1T1,1,794,T,2.24,1.991,R,1T,EP,24/06/2016,13/08/2016,50,1.815,1.566,0.21,21,10.84077379,5
1T2,1,794,T,2.174,1.925,R,1T,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.19,19,13.52827386,6
1T3,1,794,T,2.211,1.962,R,1T,EP,24/06/2016,13/08/2016,50,1.797,1.548,0.21,21,9.138392714,7
1T4,1,794,T,2.241,1.992,R,1T,EP,24/06/2016,13/08/2016,50,1.808,1.559,0.22,22,10.34656087,8
1B1,1,794,B,2.233,1.984,R,1B,EP,24/06/2016,13/08/2016,50,1.781,1.532,0.23,23,12.25744043,5
1B2,1,794,B,2.195,1.946,R,1B,EP,24/06/2016,13/08/2016,50,1.772,1.523,0.22,22,13.8348215,6
1B4,1,794,B,2.22,1.971,R,1B,EP,24/06/2016,13/08/2016,50,1.806,1.557,0.21,21,10.00446429,7
2A1,2,922,A,2.244,1.995,R,2A,EP,24/06/2016,13/08/2016,50,1.813,1.564,0.22,22,11.47883596,8
2A2,2,922,A,2.155,1.906,R,2A,EP,24/06/2016,13/08/2016,50,1.811,1.562,0.18,18,9.833333357,5
2A3,2,922,A,2.212,1.963,R,2A,EP,24/06/2016,13/08/2016,50,1.857,1.608,0.18,18,12.84375007,6
2A4,2,922,A,2.233,1.984,R,2A,EP,24/06/2016,13/08/2016,50,1.776,1.527,0.23,23,9.266368929,7
3A1,3,1049,A,2.228,1.979,R,3A,EP,24/06/2016,13/08/2016,50,1.775,1.526,0.23,23,10.15955693,8
3A2,3,1049,A,2.267,2.018,R,3A,EP,24/06/2016,13/08/2016,50,1.892,1.643,0.19,19,6.610118929,5
3A3,3,1049,A,2.298,2.049,R,3A,EP,24/06/2016,13/08/2016,50,2.027,1.778,0.13,13,8.565476286,6
3A4,3,1049,A,2.24,1.991,R,3A,EP,24/06/2016,13/08/2016,50,1.912,1.663,0.16,16,5.619047643,7
4A1,4,1175,A,2.27,2.021,R,4A,EP,24/06/2016,13/08/2016,50,1.914,1.665,0.18,18,6.130290921,8
4A2,4,1175,A,2.226,1.977,R,4A,EP,24/06/2016,13/08/2016,50,1.971,1.722,0.13,13,3.815476143,5
4A3,4,1175,A,2.294,2.045,R,4A,EP,24/06/2016,13/08/2016,50,1.931,1.682,0.18,18,5.129464286,6
4A4,4,1175,A,2.197,1.948,R,4A,EP,24/06/2016,13/08/2016,50,1.792,1.543,0.21,21,3.623511858,7
4M1,4,1175,M,2.251,2.002,R,4M,EP,24/06/2016,13/08/2016,50,1.838,1.589,0.21,21,4.139054238,8
4M2,4,1175,M,2.229,1.98,R,4M,EP,24/06/2016,13/08/2016,50,1.768,1.519,0.23,23,7.184523857,5
4M3,4,1175,M,2.241,1.992,R,4M,EP,24/06/2016,13/08/2016,50,1.828,1.579,0.21,21,9.244047571,6
4M4,4,1175,M,2.278,2.029,R,4M,EP,24/06/2016,13/08/2016,50,1.833,1.584,0.22,22,6.321428643,7
4T1,4,1175,T,2.237,1.988,R,4T,EP,24/06/2016,13/08/2016,50,1.936,1.687,0.15,15,7.062665429,8
4T2,4,1175,T,2.292,2.043,R,4T,EP,24/06/2016,13/08/2016,50,1.884,1.635,0.2,20,6.055059572,5
4T3,4,1175,T,2.306,2.057,R,4T,EP,24/06/2016,13/08/2016,50,1.904,1.655,0.2,20,6.912202429,6
4T4,4,1175,T,2.268,2.019,R,4T,EP,24/06/2016,13/08/2016,50,1.849,1.6,0.21,21,5.188988143,7
4B1,4,1175,B,2.22,1.971,R,4B,EP,24/06/2016,13/08/2016,50,2.088,1.839,0.07,7,5.93816131,8
4B2,4,1175,B,2.23,1.981,R,4B,EP,24/06/2016,13/08/2016,50,2.104,1.855,0.06,6,8.2440475,5
4B3,4,1175,B,2.255,2.006,R,4B,EP,24/06/2016,13/08/2016,50,1.929,1.68,0.16,16,9.706845286,6
4B4,4,1175,B,2.24,1.991,R,4B,EP,24/06/2016,13/08/2016,50,1.958,1.709,0.14,14,6.684523929,7
5A1,5,1299,A,2.245,1.996,R,5A,EP,24/06/2016,13/08/2016,50,1.822,1.573,0.21,21,7.441964214,8
5A2,5,1299,A,2.267,2.018,R,5A,EP,24/06/2016,13/08/2016,50,1.785,1.666,0.17,17,10.05952372,5
5A3,5,1299,A,2.228,1.979,R,5A,EP,24/06/2016,13/08/2016,50,1.737,1.488,0.25,25,7.907738143,6
5A4,5,1299,A,2.225,1.976,R,5A,EP,24/06/2016,13/08/2016,50,1.822,1.573,0.2,20,8.571759254,7
6A1,6,1425,A,2.258,2.009,R,6A,EP,24/06/2016,13/08/2016,50,1.813,1.564,0.22,22,7.184523857,8
6A2,6,1425,A,2.228,1.979,R,6A,EP,24/06/2016,13/08/2016,50,1.831,1.582,0.2,20,9.244047571,5
6A3,6,1425,A,2.245,1.996,R,6A,EP,24/06/2016,13/08/2016,50,1.841,1.592,0.2,20,6.321428643,6
6A4,6,1425,A,2.268,2.019,R,6A,EP,24/06/2016,13/08/2016,50,1.827,1.578,0.22,22,7.062665429,7
7M1,7,1551,M,2.305,2.056,R,7M,EP,24/06/2016,13/08/2016,50,1.835,1.586,0.23,23,8.671130929,8
7M2,7,1551,M,2.212,1.963,R,7M,EP,24/06/2016,13/08/2016,50,1.753,1.504,0.23,23,10.52083336,5
7M3,7,1551,M,2.229,1.98,R,7M,EP,24/06/2016,13/08/2016,50,1.785,1.536,0.22,22,8.394345143,6
7M4,7,1551,M,2.277,2.028,R,7M,EP,24/06/2016,13/08/2016,50,1.765,1.516,0.25,25,9.183201119,7
7T2,7,1551,T,2.219,1.97,R,7T,EP,24/06/2016,13/08/2016,50,1.814,1.565,0.21,21,9.096726286,8
7T3,7,1551,T,2.203,1.954,R,7T,EP,24/06/2016,13/08/2016,50,1.76,1.511,0.23,23,7.727678572,5
7T4,7,1551,T,2.254,2.005,R,7T,EP,24/06/2016,13/08/2016,50,1.801,1.552,0.23,23,8.657241961,6
7B1,7,1551,B,2.234,1.985,R,7B,EP,24/06/2016,13/08/2016,50,1.856,1.607,0.19,19,10.31101186,7
7B2,7,1551,B,2.205,1.956,R,7B,EP,24/06/2016,13/08/2016,50,1.894,1.645,0.16,16,11.33333336,8
7B3,7,1551,B,2.19,1.941,R,7B,EP,24/06/2016,13/08/2016,50,1.843,1.594,0.18,18,9.572916712,5
7B4,7,1551,B,2.259,2.01,R,7B,EP,24/06/2016,13/08/2016,50,1.901,1.652,0.18,18,10.6929564,6
8A1,8,1684,A,2.232,1.983,R,8A,EP,24/06/2016,13/08/2016,50,1.836,1.587,0.2,20,7.184523857,7
8A2,8,1684,A,2.229,1.98,R,8A,EP,24/06/2016,13/08/2016,50,1.761,1.512,0.24,24,9.244047571,8
8A3,8,1684,A,2.191,1.942,R,8A,EP,24/06/2016,13/08/2016,50,1.718,1.469,0.24,24,6.321428643,5
8A4,8,1684,A,2.275,2.026,R,8A,EP,24/06/2016,13/08/2016,50,1.74,1.491,0.26,26,7.062665429,6
10A1,10,1926,A,2.214,1.965,R,10A,EP,24/06/2016,13/08/2016,50,1.658,1.409,0.28,28,7.184523857,7
10A2,10,1926,A,2.266,2.017,R,10A,EP,24/06/2016,13/08/2016,50,1.756,1.507,0.25,25,9.244047571,8
10A3,10,1926,A,2.217,1.968,R,10A,EP,24/06/2016,13/08/2016,50,1.665,1.416,0.28,28,6.321428643,5
10A4,10,1926,A,2.203,1.954,R,10A,EP,24/06/2016,13/08/2016,50,1.626,1.377,0.3,30,7.062665429,6
10M1,10,1926,M,2.258,2.009,R,10M,EP,24/06/2016,13/08/2016,50,1.795,1.546,0.23,23,7.123511857,7
10M2,10,1926,M,2.273,2.024,R,10M,EP,24/06/2016,13/08/2016,50,1.798,1.549,0.23,23,9.245535786,8
10M3,10,1926,M,2.189,1.94,R,10M,EP,24/06/2016,13/08/2016,50,1.784,1.535,0.21,21,7.5699405,5
10M4,10,1926,M,2.226,1.977,R,10M,EP,24/06/2016,13/08/2016,50,1.796,1.547,0.22,22,8.073743429,6
10T1,10,1926,T,2.276,2.027,R,10T,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.23,23,7.407738072,7
10T2,10,1926,T,2.272,2.023,R,10T,EP,24/06/2016,13/08/2016,50,1.742,1.493,0.26,26,8.769345072,8
10T3,10,1926,T,2.18,1.931,R,10T,EP,24/06/2016,13/08/2016,50,1.798,1.549,0.2,20,8.135416643,5
10T4,10,1926,T,2.245,1.996,R,10T,EP,24/06/2016,13/08/2016,50,1.784,1.535,0.23,23,8.711309445,6
10B1,10,1926,B,2.315,2.066,R,10B,EP,24/06/2016,13/08/2016,50,1.931,1.682,0.19,19,8.909226213,7
10B2,10,1926,B,2.244,1.995,R,10B,EP,24/06/2016,13/08/2016,50,1.842,1.593,0.2,20,9.955357072,8
10B3,10,1926,B,2.251,2.002,R,10B,EP,24/06/2016,13/08/2016,50,1.831,1.582,0.21,21,8.903273788,5
10B4,10,1926,B,2.266,2.017,R,10B,EP,24/06/2016,13/08/2016,50,1.842,1.593,0.21,21,9.735119278,6