Sample_ID,Location,Treatment,Site,DOB,Init_mass_g_w_bag,Init_mass_r_w_bag,Init_mass_g,Init_mass_4,DOR,Final_mass_g_w_tea,Final_mass_r_w_tea,Final_mass_g,Final_mass_r,Fraction _decomposed_green_tea_(ag),predicted_labile_fraction_red_tea_(ar),Fraction remaining red tea (wt),incubation_time_red_and_green_tea_(t),S,k,Moiture_VWC,,,,
1,Grassland,"light water, cover",1,23/06/2016,2.188,2.209,1.9406,01/01/1900,14/08/2016,0.862,1.657,0.711,1.4076,0.633,0.415,0.718,52,0.248,0.021813696,25.9,,,,
2,Grassland,"light water, cover",1,23/06/2016,2.008,2.204,1.7606,01/01/1900,14/08/2016,0.882,1.669,0.731,1.4196,0.585,0.383,0.726,52,0.306,0.024086931,26.5,,,,
3,Grassland,"light water, cover",1,23/06/2016,2.025,2.274,1.7776,02/01/1900,14/08/2016,0.763,1.717,0.612,1.4676,0.655,0.43,0.725,52,0.222,0.019658368,21.2,,,,
4,Grassland,"light water, cover",1,23/06/2016,2.067,2.288,1.8196,02/01/1900,14/08/2016,0.789,1.694,0.638,1.4446,0.649,0.426,0.709,52,0.229,0.022194783,16.7,,,,
5,Grassland,"light water, cover",1,23/06/2016,2.114,2.245,1.8666,01/01/1900,14/08/2016,0.779,1.705,0.628,1.4556,0.663,0.435,0.729,52,0.212,0.018720776,16.6,,,,
6,Grassland,"light water, cover",1,23/06/2016,2.026,2.21,1.7786,01/01/1900,14/08/2016,0.785,1.673,0.634,1.4236,0.643,0.422,0.726,52,0.236,0.020157782,19.8,,,,
7,Grassland,saturated,2,23/06/2016,2.097,2.188,1.8496,01/01/1900,14/08/2016,1.005,1.665,0.854,1.4156,0.538,0.353,0.73,52,0.361,0.027833932,53.5,,,,
9,Grassland,saturated,2,23/06/2016,2.018,2.258,1.7706,02/01/1900,14/08/2016,1.035,1.766,0.884,1.5166,0.501,0.328,0.755,52,0.406,0.026392608,49.2,,,,
10,Grassland,saturated,2,23/06/2016,2.164,2.303,1.9166,02/01/1900,14/08/2016,1.206,1.806,1.055,1.5566,0.449,0.295,0.758,52,0.466,0.033144637,47.7,,,,
11,Grassland,saturated,2,23/06/2016,2.152,2.205,1.9046,01/01/1900,14/08/2016,1.098,1.697,0.947,1.4476,0.503,0.329,0.74,52,0.403,0.029868335,52.2,,,,
12,Grassland,saturated,2,23/06/2016,2.189,2.227,1.9416,01/01/1900,14/08/2016,1.129,1.686,0.978,1.4366,0.496,0.325,0.726,52,0.411,0.035381062,54.2,,,,
13,Grassland,disturbance,3,23/06/2016,2.153,2.153,1.9056,01/01/1900,14/08/2016,0.941,1.718,0.79,1.4686,0.585,0.384,0.771,52,0.305,0.017411301,19.1,,,,
14,Grassland,disturbance,3,23/06/2016,2.165,2.238,1.9176,01/01/1900,14/08/2016,0.979,1.854,0.828,1.6046,0.568,0.372,0.807,52,0.325,0.014057576,10,,,,
15,Grassland,disturbance,3,23/06/2016,2.201,2.174,1.9536,01/01/1900,14/08/2016,1.106,1.777,0.955,1.5276,0.511,0.335,0.794,52,0.393,0.018396102,13.6,,,,
16,Grassland,disturbance,3,23/06/2016,2.064,2.206,1.8166,01/01/1900,14/08/2016,0.84,1.804,0.689,1.5546,0.62,0.407,0.795,52,0.263,0.013525919,30.9,,,,
17,Grassland,disturbance,3,23/06/2016,2.175,2.234,1.9276,01/01/1900,14/08/2016,1.033,1.801,0.882,1.5516,0.542,0.355,0.782,52,0.356,0.018294643,29.9,,,,
18,Grassland,disturbance,3,23/06/2016,2.254,2.222,2.0066,01/01/1900,14/08/2016,0.86,1.817,0.709,1.5676,0.646,0.424,0.795,52,0.232,0.012740535,27.7,,,,
19,Grassland,"disturbance, cover",4,23/06/2016,2.141,2.193,1.8936,01/01/1900,14/08/2016,0.962,1.79,0.811,1.5406,0.572,0.375,0.793,52,0.321,0.015502467,21.8,,,,
20,Grassland,"disturbance, cover",4,23/06/2016,2.072,2.278,1.8246,02/01/1900,14/08/2016,0.933,1.859,0.782,1.6096,0.571,0.374,0.793,52,0.322,0.015423487,18.4,,,,
21,Grassland,"disturbance, cover",4,23/06/2016,2.159,2.254,1.9116,02/01/1900,14/08/2016,1.042,1.881,0.891,1.6316,0.534,0.35,0.814,52,0.366,0.014594336,16.3,,,,
22,Grassland,"disturbance, cover",4,23/06/2016,2.133,2.175,1.8856,01/01/1900,14/08/2016,0.98,1.807,0.829,1.5576,0.56,0.367,0.809,52,0.335,0.014131827,8.5,,,,
23,Grassland,"disturbance, cover",4,23/06/2016,2.055,2.206,1.8076,01/01/1900,14/08/2016,0.769,1.817,0.618,1.5676,0.658,0.431,0.801,52,0.219,0.011884132,10.9,,,,
24,Grassland,"disturbance, cover",4,23/06/2016,2.076,2.174,1.8286,01/01/1900,14/08/2016,0.831,1.768,0.68,1.5186,0.628,0.412,0.789,52,0.254,0.013815046,13.9,,,,
25,Grassland,light water,5,23/06/2016,2.108,2.183,1.8606,01/01/1900,14/08/2016,0.92,1.684,0.769,1.4346,0.586,0.384,0.742,52,0.303,0.021390821,21.5,,,,
26,Grassland,light water,5,23/06/2016,2.243,2.189,1.9956,01/01/1900,14/08/2016,0.959,1.681,0.808,1.4316,0.595,0.39,0.738,52,0.293,0.021410594,17.3,,,,
27,Grassland,light water,5,23/06/2016,2.058,2.216,1.8106,01/01/1900,14/08/2016,0.944,1.671,0.793,1.4216,0.562,0.368,0.723,52,0.333,0.026847821,18.6,,,,
28,Grassland,light water,5,23/06/2016,2.044,2.277,1.7966,02/01/1900,14/08/2016,0.978,1.83,0.827,1.5806,0.539,0.354,0.78,52,0.359,0.018777985,29.1,,,,
29,Grassland,light water,5,23/06/2016,2.162,2.319,1.9146,02/01/1900,14/08/2016,0.998,1.819,0.847,1.5696,0.557,0.365,0.758,52,0.338,0.020810531,30.8,,,,
30,Grassland,light water,5,23/06/2016,2.248,2.199,2.0006,01/01/1900,14/08/2016,0.919,1.721,0.768,1.4716,0.616,0.404,0.755,52,0.269,0.017970467,21.3,,,,
31,Grassland,"no water, cover",6,23/06/2016,2.052,2.301,1.8046,02/01/1900,14/08/2016,0.91,1.865,0.759,1.6156,0.579,0.38,0.787,52,0.312,0.015774589,3.4,,,,
32,Grassland,"no water, cover",6,23/06/2016,2.103,2.2,1.8556,01/01/1900,14/08/2016,0.944,1.852,0.793,1.6026,0.572,0.375,0.822,52,0.32,0.012406256,4.8,,,,
33,Grassland,"no water, cover",6,23/06/2016,2.174,2.228,1.9266,01/01/1900,14/08/2016,0.949,1.775,0.798,1.5256,0.586,0.384,0.771,52,0.305,0.017447432,4.3,,,,
34,Grassland,"no water, cover",6,23/06/2016,2.112,2.223,1.8646,01/01/1900,14/08/2016,0.934,1.787,0.783,1.5376,0.58,0.38,0.779,52,0.311,0.016734925,3.4,,,,
35,Grassland,"no water, cover",6,23/06/2016,2.174,2.23,1.9266,01/01/1900,14/08/2016,0.972,1.802,0.821,1.5526,0.574,0.376,0.784,52,0.319,0.016437329,16.6,,,,
36,Grassland,"no water, cover",6,23/06/2016,2.205,2.28,1.9576,02/01/1900,14/08/2016,1.085,1.953,0.934,1.7036,0.523,0.343,0.839,52,0.379,0.012207704,19.8,,,,
37,Grassland,"light water, cover",7,23/06/2016,2.201,2.245,1.9536,01/01/1900,14/08/2016,0.925,1.714,0.774,1.4646,0.604,0.396,0.734,52,0.283,0.021462125,25.9,,,,
38,Grassland,"light water, cover",7,23/06/2016,2.102,2.215,1.8546,01/01/1900,14/08/2016,0.837,1.758,0.686,1.5086,0.63,0.413,0.768,52,0.252,0.015920724,26.5,,,,
39,Grassland,"light water, cover",7,23/06/2016,2.133,2.119,1.8856,01/01/1900,14/08/2016,0.946,1.744,0.795,1.4946,0.578,0.379,0.799,52,0.313,0.014485921,21.2,,,,
40,Grassland,"light water, cover",7,23/06/2016,2.04,2.249,1.7926,01/01/1900,14/08/2016,0.937,1.775,0.786,1.5256,0.561,0.368,0.763,52,0.333,0.019871742,16.7,,,,
41,Grassland,"light water, cover",7,23/06/2016,2.172,2.292,1.9246,02/01/1900,14/08/2016,0.908,1.789,0.757,1.5396,0.606,0.398,0.754,52,0.28,0.018575724,16.6,,,,
42,Grassland,"light water, cover",7,23/06/2016,2.133,2.217,1.8856,01/01/1900,14/08/2016,0.816,1.745,0.665,1.4956,0.647,0.424,0.76,52,0.231,0.016027921,19.8,,,,
43,Grassland,"no water, cover",8,23/06/2016,2.08,2.196,1.8326,01/01/1900,14/08/2016,1.022,1.74,0.871,1.4906,0.525,0.344,0.766,52,0.377,0.021988273,4.1,,,,
44,Grassland,"no water, cover",8,23/06/2016,2.118,2.22,1.8706,01/01/1900,14/08/2016,0.915,1.894,0.764,1.6446,0.591,0.388,0.835,52,0.298,0.010699517,2.6,,,,
45,Grassland,"no water, cover",8,23/06/2016,2.229,2.279,1.9816,02/01/1900,14/08/2016,1.214,1.848,1.063,1.5986,0.463,0.304,0.788,52,0.45,0.023093581,2.4,,,,
46,Grassland,"no water, cover",8,23/06/2016,2.171,2.292,1.9236,02/01/1900,14/08/2016,1.197,1.946,1.046,1.6966,0.456,0.299,0.831,52,0.458,0.016079045,3.8,,,,
47,Grassland,"no water, cover",8,23/06/2016,2.133,2.189,1.8856,01/01/1900,14/08/2016,1.074,1.859,0.923,1.6096,0.51,0.335,0.83,52,0.394,0.013662605,2.1,,,,
48,Grassland,"no water, cover",8,23/06/2016,2.116,2.293,1.8686,02/01/1900,14/08/2016,1.186,1.92,1.035,1.6706,0.446,0.292,0.817,52,0.47,0.018830631,4.4,,,,
49,Grassland,saturated,9,23/06/2016,2.115,2.31,1.8676,02/01/1900,14/08/2016,0.962,1.68,0.811,1.4306,0.566,0.371,0.694,52,0.328,0.033477699,53.5,,,,
50,Grassland,saturated,9,23/06/2016,2.149,2.233,1.9016,01/01/1900,14/08/2016,0.906,1.69,0.755,1.4406,0.603,0.395,0.726,52,0.284,0.022694204,49.2,,,,
51,Grassland,saturated,9,23/06/2016,2.104,2.222,1.8566,01/01/1900,14/08/2016,1.001,1.641,0.85,1.3916,0.542,0.355,0.705,52,0.356,0.033961074,47.7,,,,
52,Grassland,saturated,9,23/06/2016,2.027,2.266,1.7796,02/01/1900,14/08/2016,0.858,1.694,0.707,1.4446,0.602,0.395,0.716,52,0.284,0.02435129,52.2,,,,
53,Grassland,saturated,9,23/06/2016,2.112,2.266,1.8646,02/01/1900,14/08/2016,0.894,1.705,0.743,1.4556,0.601,0.394,0.722,52,0.286,0.023522073,54.2,,,,
54,Grassland,saturated,9,23/06/2016,2.124,2.179,1.8766,01/01/1900,14/08/2016,0.869,1.642,0.718,1.3926,0.617,0.405,0.722,52,0.267,0.022387339,54.2,,,,
55,Grassland,light water,10,23/06/2016,2.123,2.168,1.8756,01/01/1900,14/08/2016,0.927,1.711,0.776,1.4616,0.586,0.384,0.762,52,0.304,0.018605694,21.5,,,,
56,Grassland,light water,10,23/06/2016,2.068,2.21,1.8206,01/01/1900,14/08/2016,1.095,1.652,0.944,1.4026,0.481,0.316,0.715,52,0.428,0.044678359,17.3,,,,
57,Grassland,light water,10,23/06/2016,2.082,2.19,1.8346,01/01/1900,14/08/2016,1.011,1.683,0.86,1.4336,0.531,0.348,0.739,52,0.369,0.026696344,18.6,,,4.1,
58,Grassland,light water,10,23/06/2016,2.067,2.254,1.8196,02/01/1900,14/08/2016,1.102,1.748,0.951,1.4986,0.477,0.313,0.748,52,0.433,0.031631871,29.1,,,2.6,
59,Grassland,light water,10,23/06/2016,2.122,2.197,1.8746,01/01/1900,14/08/2016,1.033,1.791,0.882,1.5416,0.529,0.347,0.792,52,0.371,0.017658059,30.8,,,2.4,
60,Grassland,light water,10,23/06/2016,2.094,2.236,1.8466,01/01/1900,14/08/2016,1.082,1.704,0.931,1.4546,0.496,0.325,0.732,52,0.411,0.033430602,21.3,,,3.8,
61,Grassland,"saturated, cover",11,23/06/2016,1.989,2.18,1.7416,01/01/1900,14/08/2016,0.972,1.679,0.821,1.4296,0.528,0.346,0.74,52,0.372,0.026596328,40.6,,,2.1,
62,Grassland,"saturated, cover",11,23/06/2016,2.03,2.282,1.7826,02/01/1900,14/08/2016,0.75,1.699,0.599,1.4496,0.664,0.435,0.713,52,0.212,0.02069842,27.9,,,4.4,
63,Grassland,"saturated, cover",11,23/06/2016,2.029,2.287,1.7816,02/01/1900,14/08/2016,0.903,1.78,0.752,1.5306,0.578,0.379,0.751,52,0.314,0.020578003,43.2,,,,
64,Grassland,"saturated, cover",11,23/06/2016,2.088,2.284,1.8406,02/01/1900,14/08/2016,0.773,1.69,0.622,1.4406,0.662,0.434,0.708,52,0.214,0.021487512,34.6,,,,
65,Grassland,"saturated, cover",11,23/06/2016,2.007,2.18,1.7596,01/01/1900,14/08/2016,0.845,1.656,0.694,1.4066,0.605,0.397,0.729,52,0.281,0.022148223,32,,,,
66,Grassland,"saturated, cover",11,23/06/2016,2.132,2.177,1.8846,01/01/1900,14/08/2016,0.957,1.605,0.806,1.3556,0.572,0.375,0.703,52,0.321,0.030120264,29.3,,,,
67,Grassland,no water,12,23/06/2016,2.011,2.185,1.7636,01/01/1900,14/08/2016,1.085,1.817,0.934,1.5676,0.47,0.308,0.81,52,0.442,0.018446238,4.1,,,,
68,Grassland,no water,12,23/06/2016,1.982,2.191,1.7346,01/01/1900,14/08/2016,0.916,1.795,0.765,1.5456,0.559,0.366,0.796,52,0.336,0.015648464,2.6,,,,
69,Grassland,no water,12,23/06/2016,1.993,2.162,1.7456,01/01/1900,14/08/2016,0.827,1.777,0.676,1.5276,0.613,0.402,0.799,52,0.273,0.013379715,2.4,,,,
70,Grassland,no water,12,23/06/2016,2.057,2.243,1.8096,01/01/1900,14/08/2016,1.282,1.889,1.131,1.6396,0.375,0.246,0.822,52,0.555,0.024667025,3.8,,,,
71,Grassland,no water,12,23/06/2016,2.07,2.134,1.8226,01/01/1900,14/08/2016,1.014,1.747,0.863,1.4976,0.526,0.345,0.795,52,0.375,0.017390543,2.1,,,,
72,Grassland,no water,12,23/06/2016,2.021,2.23,1.7736,01/01/1900,14/08/2016,0.992,1.776,0.841,1.5266,0.526,0.345,0.771,52,0.376,0.021045055,4.4,,,,
73,Grassland,no water,13,23/06/2016,1.975,2.227,1.7276,01/01/1900,14/08/2016,0.72,1.778,0.569,1.5286,0.67,0.44,0.773,52,0.204,0.013978398,4.1,,,,
74,Grassland,no water,13,23/06/2016,1.95,2.231,1.7026,01/01/1900,14/08/2016,0.805,1.776,0.654,1.5266,0.616,0.404,0.77,52,0.269,0.016181117,2.6,,,,
75,Grassland,no water,13,23/06/2016,1.972,2.159,1.7246,01/01/1900,14/08/2016,0.824,1.706,0.673,1.4566,0.61,0.4,0.763,52,0.276,0.017318173,2.4,,,,
76,Grassland,no water,13,23/06/2016,2.074,2.216,1.8266,01/01/1900,14/08/2016,0.83,1.771,0.679,1.5216,0.628,0.412,0.774,52,0.254,0.015337457,3.8,,,,
77,Grassland,no water,13,23/06/2016,2.149,2.226,1.9016,01/01/1900,14/08/2016,0.86,1.764,0.709,1.5146,0.627,0.411,0.766,52,0.255,0.016171151,2.1,,,,
78,Grassland,no water,13,23/06/2016,1.92,2.269,1.6726,02/01/1900,14/08/2016,0.82,1.84,0.669,1.5906,0.6,0.393,0.788,52,0.288,0.014942386,4.4,,,,
79,Grassland,nothing,14,23/06/2016,2.04,2.196,1.7926,01/01/1900,14/08/2016,0.849,1.771,0.698,1.5216,0.61,0.4,0.782,52,0.275,0.015168666,37.2,,,,
80,Grassland,nothing,14,23/06/2016,2.043,2.174,1.7956,01/01/1900,14/08/2016,1.072,1.715,0.921,1.4656,0.487,0.319,0.762,52,0.422,0.026446255,36.7,,,,
81,Grassland,nothing,14,23/06/2016,2.032,2.239,1.7846,01/01/1900,14/08/2016,1.206,1.83,1.055,1.5806,0.409,0.268,0.794,52,0.515,0.028047264,36.8,,,,
82,Grassland,nothing,14,23/06/2016,2.051,2.269,1.8036,02/01/1900,14/08/2016,0.969,1.805,0.818,1.5556,0.546,0.358,0.77,52,0.351,0.019730985,30.9,,,,
83,Grassland,nothing,14,23/06/2016,1.998,2.161,1.7506,01/01/1900,14/08/2016,1.162,1.755,1.011,1.5056,0.422,0.277,0.788,52,0.499,0.028032984,29.9,,,,
84,Grassland,nothing,14,23/06/2016,2.162,2.216,1.9146,01/01/1900,14/08/2016,0.906,1.775,0.755,1.5256,0.605,0.397,0.776,52,0.281,0.016005961,27.7,,,,
85,Grassland,"saturated, cover",15,23/06/2016,2.011,2.255,1.7636,02/01/1900,14/08/2016,0.977,1.777,0.826,1.5276,0.531,0.348,0.762,52,0.369,0.022160645,40.6,,,,
86,Grassland,"saturated, cover",15,23/06/2016,2.153,2.225,1.9056,01/01/1900,14/08/2016,0.99,1.701,0.839,1.4516,0.56,0.367,0.735,52,0.336,0.024694207,27.9,,,,
87,Grassland,"saturated, cover",15,23/06/2016,2.013,2.271,1.7656,02/01/1900,14/08/2016,0.823,1.744,0.672,1.4946,0.619,0.406,0.739,52,0.265,0.019765879,43.2,,,,
88,Grassland,"saturated, cover",15,23/06/2016,1.95,2.195,1.7026,01/01/1900,14/08/2016,0.862,1.721,0.711,1.4716,0.582,0.382,0.756,52,0.309,0.019558439,34.6,,,,
89,Grassland,"saturated, cover",15,23/06/2016,2.105,2.227,1.8576,01/01/1900,14/08/2016,0.968,1.689,0.817,1.4396,0.56,0.367,0.728,52,0.335,0.025983675,32,,,,
90,Grassland,"saturated, cover",15,23/06/2016,2.128,2.289,1.8806,02/01/1900,14/08/2016,0.887,1.725,0.736,1.4756,0.608,0.399,0.723,52,0.277,0.0227266,29.3,,,,
91,Grassland,nothing,16,23/06/2016,1.984,2.323,1.7366,02/01/1900,14/08/2016,0.837,1.864,0.686,1.6146,0.605,0.396,0.779,52,0.282,0.015715098,37.2,,,,
92,Grassland,nothing,16,23/06/2016,2.138,2.18,1.8906,01/01/1900,14/08/2016,1.073,1.739,0.922,1.4896,0.512,0.336,0.772,52,0.392,0.021935268,36.7,,,,
93,Grassland,nothing,16,23/06/2016,2.056,2.304,1.8086,02/01/1900,14/08/2016,1.107,1.89,0.956,1.6406,0.471,0.309,0.799,52,0.44,0.020315652,36.8,,,,
94,Grassland,nothing,16,23/06/2016,1.948,2.322,1.7006,02/01/1900,14/08/2016,0.927,1.905,0.776,1.6556,0.543,0.356,0.799,52,0.355,0.015995301,30.9,,,,
95,Grassland,nothing,16,23/06/2016,2.064,2.208,1.8166,01/01/1900,14/08/2016,0.737,1.797,0.586,1.5476,0.677,0.444,0.79,52,0.196,0.012306109,29.9,,,,
96,Grassland,nothing,16,23/06/2016,1.987,2.252,1.7396,02/01/1900,14/08/2016,0.825,1.817,0.674,1.5676,0.612,0.401,0.783,52,0.273,0.014979745,27.7,,,,
97,Grassland,"disturbance, cover",17,23/06/2016,1.867,2.234,1.6196,01/01/1900,14/08/2016,0.922,1.827,0.771,1.5776,0.524,0.343,0.795,52,0.378,0.017492354,21.8,,,,
98,Grassland,"disturbance, cover",17,23/06/2016,2.11,2.264,1.8626,02/01/1900,14/08/2016,0.833,1.813,0.682,1.5636,0.634,0.415,0.776,52,0.247,0.01488817,18.4,,,,
99,Grassland,"disturbance, cover",17,23/06/2016,2.134,2.314,1.8866,02/01/1900,14/08/2016,0.984,1.839,0.833,1.5896,0.558,0.366,0.77,52,0.337,0.019049505,16.3,,,,
100,Grassland,"disturbance, cover",17,23/06/2016,1.944,2.325,1.6966,02/01/1900,14/08/2016,0.814,1.902,0.663,1.6526,0.609,0.399,0.796,52,0.277,0.013736471,8.5,,,,
101,Grassland,"disturbance, cover",17,23/06/2016,2.114,2.251,1.8666,02/01/1900,14/08/2016,0.93,1.887,0.779,1.6376,0.582,0.382,0.818,52,0.308,0.012437482,10.9,,,,
102,Grassland,"disturbance, cover",17,23/06/2016,2.012,2.246,1.7646,01/01/1900,14/08/2016,0.861,1.823,0.71,1.5736,0.597,0.392,0.788,52,0.29,0.0149724,13.9,,,,
103,Grassland,disturbance,18,23/06/2016,2.12,2.266,1.8726,02/01/1900,14/08/2016,1.071,1.9,0.92,1.6506,0.508,0.333,0.819,52,0.396,0.015119827,19.1,,,,
104,Grassland,disturbance,18,23/06/2016,2.063,2.248,1.8156,01/01/1900,14/08/2016,0.96,1.824,0.809,1.5746,0.554,0.363,0.788,52,0.342,0.016862753,10,,,,
105,Grassland,disturbance,18,23/06/2016,2.01,2.286,1.7626,02/01/1900,14/08/2016,0.888,1.87,0.737,1.6206,0.582,0.381,0.796,52,0.309,0.014753504,13.6,,,,
106,Grassland,disturbance,18,23/06/2016,2.185,2.273,1.9376,02/01/1900,14/08/2016,1.03,1.834,0.879,1.5846,0.546,0.358,0.783,52,0.351,0.017907306,30.9,,,,
107,Grassland,disturbance,18,23/06/2016,2.013,2.287,1.7656,02/01/1900,14/08/2016,0.881,1.813,0.73,1.5636,0.586,0.384,0.767,52,0.304,0.017872721,29.9,,,,
108,Grassland,disturbance,18,23/06/2016,1.985,2.303,1.7376,2.0536,14/08/2016,0.857,1.811,0.706,1.5616,0.593,0.389,0.76,52,0.295,0.018395254,27.7,,,,