Sample_ID,Elevation ,Treatment,Site ,DOB,Init_mass_g_w_bag,Init_mass_r_w_bag,Init_mass_g,Init_mass_4,DOR,Final_mass_g_w_tea,Final_mass_r_w_tea,Final_mass_g,Final_mass_r,Fraction _decomposed_green_tea_(ag),predicted_labile_fraction_red_tea_(ar),Fraction remaining red tea (wt),incubation_time_red_and_green_tea_(t),S,k,Elevation,Treatment,Moiture.Orig
1A1,794,A,1,24/06/2016,2.136,2.262,1.889,2.013,13/08/2016,1.525,1.951,1.278,1.702,0.323,0.212,0.846,50,0.616,0.026082144,794,A,5.9
1A2,794,A,1,24/06/2016,2.056,2.175,1.809,1.926,13/08/2016,1.196,1.833,0.949,1.584,0.475,0.312,0.822,50,0.435,0.016867693,794,A,9.1
1A3,794,A,1,24/06/2016,2.128,2.244,1.881,1.995,13/08/2016,1.258,1.922,1.011,1.673,0.463,0.303,0.839,50,0.451,0.015198515,794,A,8.5
1M1,794,M,1,24/06/2016,2.117,2.25,1.87,2.001,13/08/2016,1.147,1.841,0.9,1.592,0.519,0.34,0.796,50,0.384,0.018378974,794,M,8.8
1M2,794,M,1,24/06/2016,2.129,2.239,1.882,1.99,13/08/2016,1.246,1.795,0.999,1.546,0.469,0.308,0.777,50,0.443,0.025846882,794,M,14.8
1M3,794,M,1,24/06/2016,2.065,2.193,1.818,1.944,13/08/2016,1.2,1.809,0.953,1.56,0.476,0.312,0.802,50,0.435,0.020062336,794,M,8.6
1T1,794,T,1,24/06/2016,2.16,2.24,1.913,1.991,13/08/2016,1.366,1.815,1.119,1.566,0.415,0.272,0.787,50,0.507,0.03069458,794,T,6.3
1T2,794,T,1,24/06/2016,1.96,2.174,1.713,1.925,13/08/2016,1.308,1.8,1.061,1.551,0.381,0.25,0.806,50,0.548,0.030157183,794,T,6.5
1T3,794,T,1,24/06/2016,2.069,2.211,1.822,1.962,13/08/2016,1.188,1.797,0.941,1.548,0.484,0.317,0.789,50,0.426,0.021911419,794,T,4.1
1B1,794,B,1,24/06/2016,2.172,2.233,1.925,1.984,13/08/2016,1.102,1.781,0.855,1.532,0.556,0.364,0.772,50,0.34,0.019627083,794,B,8.6
1B2,794,B,1,24/06/2016,2.07,2.195,1.823,1.946,13/08/2016,1.13,1.772,0.883,1.523,0.516,0.338,0.783,50,0.388,0.020601915,794,B,11
1B4,794,B,1,24/06/2016,2.106,2.22,1.859,1.995,13/08/2016,1.212,1.813,0.965,1.557,0.481,0.315,0.78,50,0.429,0.023839547,794,B,7.9
2A1,922,A,2,24/06/2016,2.065,2.244,1.818,1.906,13/08/2016,1.203,1.811,0.956,1.564,0.474,0.311,0.821,50,0.437,0.017219416,922,A,1.4
2A2,922,A,2,24/06/2016,1.973,2.155,1.726,1.963,13/08/2016,1.394,1.857,1.147,1.562,0.335,0.22,0.796,50,0.602,0.052867555,922,A,2.5
2A3,922,A,2,24/06/2016,2.106,2.212,1.859,1.984,13/08/2016,1.339,1.776,1.092,1.608,0.413,0.27,0.81,50,0.51,0.024123062,922,A,2.2
3A1,1049,A,3,24/06/2016,2.063,2.228,1.816,2.018,13/08/2016,1.152,1.892,0.905,1.526,0.502,0.329,0.756,50,0.404,0.027044419,1049,A,15.2
3A2,1049,A,3,24/06/2016,2.058,2.267,1.811,2.049,13/08/2016,1.241,2.027,0.994,1.643,0.451,0.296,0.802,50,0.464,0.022171259,1049,A,22.4
3A3,1049,A,3,24/06/2016,2.016,2.298,1.769,1.991,13/08/2016,1.401,1.912,1.154,1.778,0.348,0.228,0.893,50,0.587,0.01267457,1049,A,15.8
4A1,1175,A,4,24/06/2016,2.103,2.27,1.856,1.977,13/08/2016,1.363,1.971,1.116,1.665,0.399,0.261,0.842,50,0.526,0.018514904,1175,A,35.9
4A2,1175,A,4,24/06/2016,2.161,2.226,1.914,2.045,13/08/2016,1.522,1.931,1.275,1.722,0.334,0.219,0.842,50,0.603,0.025577123,1175,A,33.9
4A3,1175,A,4,24/06/2016,2.057,2.294,1.81,1.948,13/08/2016,1.372,1.792,1.125,1.682,0.378,0.248,0.863,50,0.551,0.015986546,1175,A,35.9
4M1,1175,M,4,24/06/2016,2.056,2.251,1.809,1.98,13/08/2016,1.18,1.768,0.933,1.589,0.484,0.317,0.803,50,0.425,0.019459393,1175,M,8
4M2,1175,M,4,24/06/2016,2.08,2.229,1.833,1.992,13/08/2016,1.121,1.828,0.874,1.519,0.523,0.343,0.763,50,0.379,0.023572014,1175,M,10
4M3,1175,M,4,24/06/2016,2.085,2.241,1.838,2.029,13/08/2016,1.228,1.833,0.981,1.579,0.466,0.306,0.778,50,0.446,0.025859823,1175,M,6.4
4T1,1175,T,4,24/06/2016,2.047,2.237,1.8,2.043,13/08/2016,1.28,1.884,1.033,1.687,0.426,0.279,0.826,50,0.494,0.01955165,1175,T,12.7
4T2,1175,T,4,24/06/2016,2.104,2.292,1.857,2.057,13/08/2016,1.286,1.904,1.039,1.635,0.44,0.289,0.795,50,0.477,0.024785863,1175,T,21.9
4T3,1175,T,4,24/06/2016,1.994,2.306,1.747,2.019,13/08/2016,1.255,1.849,1.008,1.655,0.423,0.277,0.82,50,0.498,0.021002703,1175,T,21
4B1,1175,B,4,24/06/2016,2.031,2.22,1.784,1.981,13/08/2016,1.568,2.104,1.321,1.839,0.26,0.17,0.928,50,0.692,0.010939397,1175,B,12.8
4B3,1175,B,4,24/06/2016,2.066,2.255,1.819,1.991,13/08/2016,1.515,1.958,1.268,1.68,0.303,0.199,0.844,50,0.64,0.030889923,1175,B,12.1
5A1,1299,A,5,24/06/2016,2.035,2.245,1.788,2.018,13/08/2016,1.224,1.785,0.977,1.573,0.454,0.297,0.779,50,0.461,0.02706345,1299,A,45.3
5A2,1299,A,5,24/06/2016,2.195,2.267,1.948,1.979,13/08/2016,1.382,1.737,1.135,1.666,0.417,0.274,0.842,50,0.504,0.017257657,1299,A,3.8
5A3,1299,A,5,24/06/2016,2.112,2.228,1.865,1.976,13/08/2016,1.189,1.822,0.942,1.488,0.495,0.324,0.753,50,0.412,0.028640266,1299,A,33.6
6A1,1425,A,6,24/06/2016,2.03,2.258,1.783,1.979,13/08/2016,1.205,1.831,0.958,1.564,0.463,0.303,0.79,50,0.45,0.023508342,1425,A,43
6A2,1425,A,6,24/06/2016,2.091,2.228,1.844,1.996,13/08/2016,1.27,1.841,1.023,1.582,0.445,0.292,0.793,50,0.471,0.024799517,1425,A,23.3
6A3,1425,A,6,24/06/2016,2.049,2.245,1.802,2.019,13/08/2016,1.257,1.827,1.01,1.592,0.44,0.288,0.789,50,0.478,0.02648494,1425,A,43.2
7A1,1551,A,7,24/06/2016,2.092,2.292,1.845,2.007,13/08/2016,1.388,1.889,1.141,1.638,0.382,0.25,0.816,50,0.547,0.026559025,1551,A,36.6
7A2,1551,A,7,24/06/2016,1.951,2.256,1.704,1.966,13/08/2016,1.24,1.876,0.993,1.64,0.417,0.274,0.834,50,0.504,0.018637615,1551,A,41.3
7M1,1551,M,7,24/06/2016,1.965,2.305,1.718,1.963,13/08/2016,1.032,1.753,0.785,1.586,0.543,0.356,0.808,50,0.355,0.015505835,1551,M,18
7M2,1551,M,7,24/06/2016,2.128,2.212,1.881,1.98,13/08/2016,1.193,1.785,0.946,1.504,0.497,0.326,0.76,50,0.41,0.026766905,1551,M,19.6
7M3,1551,M,7,24/06/2016,2.024,2.229,1.777,2.028,13/08/2016,1.14,1.765,0.893,1.536,0.497,0.326,0.757,50,0.409,0.027242511,1551,M,17.1
7T2,1551,T,7,24/06/2016,2.033,2.201,1.786,1.97,13/08/2016,1.272,1.814,1.025,1.609,0.426,0.279,0.817,50,0.494,0.021342883,1551,T,40.3
7T3,1551,T,7,24/06/2016,2.133,2.219,1.886,1.954,13/08/2016,1.224,1.76,0.977,1.565,0.482,0.316,0.801,50,0.428,0.019887815,1551,T,46.8
7T4,1551,T,7,24/06/2016,2.078,2.203,1.831,2.005,13/08/2016,1.245,1.801,0.998,1.511,0.455,0.298,0.754,50,0.46,0.034984689,1551,T,46.5
7B1,1551,B,7,24/06/2016,2.006,2.254,1.759,1.985,13/08/2016,1.238,1.856,0.991,1.552,0.437,0.286,0.782,50,0.481,0.028717073,1551,B,41.9
7B2,1551,B,7,24/06/2016,2.021,2.234,1.774,1.956,13/08/2016,1.276,1.894,1.029,1.607,0.42,0.275,0.822,50,0.501,0.020886885,1551,B,50.2
7B3,1551,B,7,24/06/2016,2.121,2.205,1.874,1.941,13/08/2016,1.275,1.843,1.028,1.645,0.451,0.296,0.848,50,0.464,0.014483439,1551,B,34.1
8A1,1684,A,8,24/06/2016,2.053,2.259,1.806,1.983,13/08/2016,1.17,1.836,0.923,1.652,0.489,0.321,0.833,50,0.419,0.014710961,1684,A,58.2
8A2,1684,A,8,24/06/2016,2.076,2.232,1.829,1.98,13/08/2016,1.17,1.761,0.923,1.587,0.495,0.325,0.802,50,0.412,0.018893988,1684,A,53.7
8A3,1684,A,8,24/06/2016,2.138,2.229,1.891,1.942,13/08/2016,1.208,1.718,0.961,1.512,0.492,0.322,0.779,50,0.416,0.023215291,1684,A,41.8
9A1,1799,A,9,24/06/2016,2.097,2.275,1.85,2.045,13/08/2016,1.091,1.812,0.844,1.491,0.544,0.356,0.729,50,0.354,0.028534982,1799,A,30.4
9A2,1799,A,9,24/06/2016,2.016,2.294,1.769,2.006,13/08/2016,1.044,1.824,0.797,1.563,0.549,0.36,0.779,50,0.347,0.018990034,1799,A,40.2
9A3,1799,A,9,24/06/2016,2.063,2.255,1.816,1.999,13/08/2016,1.185,1.854,0.938,1.575,0.483,0.317,0.788,50,0.426,0.022124032,1799,A,32.2
10A2,1926,A,10,24/06/2016,2.057,2.214,1.81,1.968,13/08/2016,0.835,1.665,0.588,1.409,0.675,0.443,0.716,50,0.198,0.020530585,1926,A,36
10A3,1926,A,10,24/06/2016,1.885,2.266,1.638,1.954,13/08/2016,0.857,1.626,0.61,1.507,0.628,0.411,0.771,50,0.255,0.016238728,1926,A,22.7
10A4,1926,A,10,24/06/2016,1.957,2.217,1.71,2.009,13/08/2016,0.706,1.795,0.589,1.416,0.656,0.43,0.705,50,0.221,0.023219072,1926,A,37.9
10M2,1926,M,10,24/06/2016,2.052,2.258,1.805,1.94,13/08/2016,1.139,1.784,0.892,1.546,0.506,0.332,0.797,50,0.399,0.018958448,1926,M,39.8
10M3,1926,M,10,24/06/2016,2.039,2.273,1.792,1.977,13/08/2016,1.172,1.796,0.925,1.549,0.484,0.317,0.784,50,0.425,0.022948159,1926,M,45.9
10M4,1926,M,10,24/06/2016,2.018,2.189,1.771,2.027,13/08/2016,1.171,1.8,0.924,1.535,0.478,0.314,0.757,50,0.432,0.0297568,1926,M,46.3
10T1,1926,T,10,24/06/2016,1.978,2.226,1.731,2.023,13/08/2016,0.979,1.742,0.732,1.547,0.577,0.378,0.765,50,0.315,0.019451561,1926,T,44.7
10T2,1926,T,10,24/06/2016,1.968,2.276,1.721,1.931,13/08/2016,1.05,1.798,0.803,1.551,0.533,0.35,0.803,50,0.366,0.016544827,1926,T,45.1
10T3,1926,T,10,24/06/2016,2.08,2.272,1.833,1.996,13/08/2016,1.186,1.784,0.939,1.493,0.488,0.32,0.748,50,0.421,0.031036941,1926,T,33.5
10B1,1926,B,10,24/06/2016,2.139,2.245,1.892,1.995,13/08/2016,1.127,1.842,0.88,1.535,0.535,0.351,0.769,50,0.365,0.021432573,1926,B,27.9
10B2,1926,B,10,24/06/2016,2.051,2.315,1.804,2.002,13/08/2016,1.16,1.831,0.913,1.682,0.494,0.324,0.84,50,0.413,0.01361048,1926,B,25.2
10B3,1926,B,10,24/06/2016,2.143,2.244,1.896,2.017,13/08/2016,1.334,1.842,1.087,1.593,0.427,0.28,0.79,50,0.493,0.027845385,1926,B,42.2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,